,oid,tweet_cnt
0,528cc5161b624f4dd854d10f,20
1,528cc63e1b624f4edb9788fa,12
2,528d414a1b624f15b55d9357,11
3,528d44d01b624f19ff0d083d,18
4,528d66ca1b624f4e41947d69,14
5,528d71561b624f60cb5f9d81,11
6,528d77481b624f65c6d4b457,18
7,528d798a1b624f6db935339e,14
8,528d8ca11b624f7eaf55199e,10
9,528d8cbe1b624f7eaf5519a2,13
10,528d8cce1b624f7eaf5519a8,10
11,528d8cfe1b624f7eaf5519b2,9
12,528d8d111b624f7eaf5519b4,7
13,528d8d201b624f7eaf5519b7,8
14,528d8d211b624f7eaf5519b8,7
15,528d8d3f1b624f7eaf5519bf,7
16,528d8d7c1b624f7eaf5519cc,7
17,528d8dcd1b624f7eaf5519dd,8
18,528d8dcd1b624f7eaf5519de,8
19,528d8e551b624f7eaf5519f6,8
20,528d8e731b624f7eaf5519f7,8
21,528d8e821b624f7eaf5519f9,7
22,528d8ece1b624f7eaf551a06,7
23,528d8edb1b624f7eaf551a09,13
24,528d8edd1b624f7eaf551a0c,7
25,528d8eed1b624f7eaf551a11,10
26,528d8efc1b624f7eaf551a13,10
27,528d8f1a1b624f7eaf551a1a,7
28,528d8f291b624f7eaf551a1b,12
29,528d8f3a1b624f7eaf551a1f,10
30,528d8f481b624f7eaf551a22,14
31,528d8f6a1b624f7eaf551a2b,8
32,528d8f781b624f7eaf551a2e,11
33,528d8f871b624f7eaf551a32,10
34,528d8f961b624f7eaf551a34,13
35,528d8fa51b624f7eaf551a35,12
36,528d8fa61b624f7eaf551a36,11
37,528d8fa71b624f7eaf551a38,8
38,528d8fc31b624f7eaf551a3d,14
39,528d92271b624f158e53bf23,8
40,528d92621b624f7eaf551a57,7
41,528d93321b624f7eaf551a66,8
42,528d93a91b624f7eaf551a6a,9
43,528d93c51b624f7eaf551a6b,10
44,528d940f1b624f7eaf551a70,8
45,528d941f1b624f7eaf551a72,8
46,528d942e1b624f7eaf551a73,10
47,528d943c1b624f7eaf551a75,17
48,528d944b1b624f7eaf551a78,15
49,528d94641b624f7eaf551a7b,22
50,528d94731b624f7eaf551a7d,11
51,528d94751b624f7eaf551a7f,7
52,528d94811b624f7eaf551a81,10
53,528d94e21b624f7eaf551a8e,18
54,528d94ef1b624f7eaf551a8f,18
55,528d97a11b624f7eaf551a9a,9
56,528d97cb1b624f7eaf551a9c,7
57,528d98a71b624f7eaf551aa9,7
58,528d99cc1b624f7eaf551ac0,20
59,528d99cc1b624f7eaf551ac1,10
60,528d99e31b624f7eaf551ac5,11
61,528d9a021b624f7eaf551ace,9
62,528d9a021b624f7eaf551acf,26
63,528d9a061b624f7eaf551ad0,8
64,528d9a131b624f7eaf551ad2,12
65,528d9a341b624f7eaf551ada,9
66,528d9a351b624f7eaf551adb,9
67,528d9a421b624f7eaf551add,7
68,528d9a9e1b624f7eaf551ae6,7
69,528d9aba1b624f7eaf551ae8,16
70,528d9d441b624f7eaf551af0,7
71,528d9d6b1b624f7eaf551af2,8
72,528d9e2c1b624f7eaf551b05,7
73,528d9e641b624f7eaf551b0c,8
74,528d9eca1b624f7eaf551b13,8
75,528d9eea1b624f7eaf551b17,7
76,528d9f541b624f7eaf551b25,7
77,528d9f5e1b624f7eaf551b27,12
78,528d9f6f1b624f7eaf551b2a,10
79,528d9f701b624f7eaf551b2b,10
80,528d9f7c1b624f7eaf551b2d,32
81,528d9f891b624f7eaf551b31,7
82,528d9fa41b624f7eaf551b36,37
